Branch,Bill No,Bill_date,Maker,Category,Product,Design,Sub_Design,Size,Pcs,Gwt(Grams),Sales_Value,Age,Employee,Purchase Value,Weight Min,Weight Max,Profit Margin %,Revenue Per Gram,Product Performance
CNI,GL-00897,2024-05-08,P,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,8.14,47026.19,0.0,ARUN KUMAR,45695.7,5.0,6.0,2.8292532310187264,5777.173218673219,Fast Moving
CNI,GL-01004,2024-05-14,N_86,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,4.1,25350.1,60.0,RAJAPRIYA,3750.0,5.0,6.0,85.20715894611855,6182.951219512195,Slow Moving
MDU,GL-01527,2024-05-16,B,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,2.08,15383.23,26.0,KARMEGAM,14569.2,5.0,6.0,5.29167151501992,7395.783653846153,Fast Moving
MDU,GL-01561,2024-05-17,P,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,6.03,36050.47,0.0,MANOJ KUMAR,34200.83,5.0,6.0,5.130695938222162,5978.5190713101165,Fast Moving
MDU,GL-01573,2024-05-17,P,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,2.59,17749.66,0.0,BALAMURUGAN,16812.4,5.0,6.0,5.280439174609533,6853.15057915058,Fast Moving
CBT,GL-00709,2024-05-28,B,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,4.11,26383.61,38.0,ELACKIYA,25134.48,5.0,6.0,4.73449236097714,6419.369829683698,Slow Moving
MDU,GL-01951,2024-05-29,B,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,2.11,15750.06,39.0,SILAMBARASAN,14729.28,5.0,6.0,6.48111816716888,7464.483412322275,Slow Moving
CNI,GL-01431,2024-05-29,N_86,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,3.86,25050.35,75.0,ARUN KUMAR,3750.0,5.0,6.0,85.03014927935139,6489.727979274611,Slow Moving
CNI,GL-01475,2024-05-31,N_86,22KT,GO_BRACELET,COIMBATORE,JALLY,,1.0,3.78,24750.18,77.0,VISHNU VARTHAN,3750.0,5.0,6.0,84.84859504052092,6547.666666666667,Slow Moving
MDU,GL-00830,2024-05-01,D,22KT,GO_BRACELET,COIMBATORE,CA R,,1.0,18.69,108131.71,20.0,YUGESH MOULI,107903.23,5.0,6.0,0.21129786997728092,5785.538255751739,Fast Moving
CNI,GL-00571,2024-05-01,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.0,48420.07,79.0,ARUN KUMAR,42880.0,5.0,6.0,11.44168110455024,6052.50875,Slow Moving
CNI,GL-00585,2024-05-01,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.4,50715.72,79.0,ARUNACHALAM,44836.0,5.0,6.0,11.593486201122651,6037.585714285714,Slow Moving
MDU,GL-00865,2024-05-02,E,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.19,48874.49,1392.0,SILAMBARASAN,3750.0,5.0,6.0,92.32728566579415,5967.581196581196,Slow Moving
CNI,GL-00712,2024-05-03,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,3.8,24448.58,81.0,SELCIYA DEVI,22337.0,5.0,6.0,8.63682062516515,6433.836842105264,Slow Moving
CNI,GL-00654,2024-05-03,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.21,48749.76,16.0,ARUN KUMAR,47006.42,5.0,6.0,3.5760996566957535,5937.851400730816,Fast Moving
CNI,GL-00790,2024-05-03,G_31,22KT,GO_BRACELET,CASTING,CAST,,1.0,4.92,30049.76,560.0,MANIKANDAN,28523.0,5.0,6.0,5.08077269169537,6107.674796747967,Slow Moving
CNI,GL-00820,2024-05-04,Y_23,22KT,GO_BRACELET,CASTING,CAST,6.0,1.0,8.13,47540.84,29.0,VENKATESH,45563.85,5.0,6.0,4.158508768460965,5847.581795817957,Fast Moving
CNI,GL-00820,2024-05-04,Y_47,22KT,GO_BRACELET,CASTING,CAST,,1.0,19.43,108358.8,60.0,VENKATESH,3750.0,5.0,6.0,96.53927507502851,5576.881111682965,Slow Moving
CBT,GL-00385,2024-05-04,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,16.2,91208.86,34.0,RAJAPRABHU,3750.0,5.0,6.0,95.88855731778689,5630.176543209876,Slow Moving
MDU,GL-01112,2024-05-04,D,22KT,GO_BRACELET,CASTING,CAST,,1.0,6.98,42716.35,23.0,BALAMURUGAN,39727.67,5.0,6.0,6.996571570370596,6119.8209169054435,Fast Moving
MDU,GL-01120,2024-05-04,E,22KT,GO_BRACELET,CASTING,CAST,,1.0,40.12,217544.49,134.0,NATHANA,3750.0,5.0,6.0,98.27621467222636,5422.345214356929,Slow Moving
MDU,GL-01148,2024-05-05,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,7.82,46633.84,83.0,RAMAMOORTHY,41999.0,5.0,6.0,9.93879122971644,5963.406649616368,Slow Moving
MDU,GL-01169,2024-05-06,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,31.8,173450.46,36.0,SUNDARAM,3750.0,5.0,6.0,97.83799939187247,5454.416981132075,Slow Moving
MDU,GL-01180,2024-05-06,D,22KT,GO_BRACELET,CASTING,CAST,,1.0,3.78,20323.96,65.0,YUGESH MOULI,3750.0,5.0,6.0,81.54887138136465,5376.708994708994,Slow Moving
MDU,GL-01217,2024-05-07,E,22KT,GO_BRACELET,CASTING,CAST,,1.0,4.07,26250.45,4.0,KARMEGAM,3750.0,5.0,6.0,85.71453060804673,6449.742014742014,Fast Moving
CNI,GL-00888,2024-05-07,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,7.41,43053.18,85.0,ARUNACHALAM,40000.0,5.0,6.0,7.091648050155645,5810.145748987854,Slow Moving
CBT,GL-00459,2024-05-09,F,22KT,GO_BRACELET,CASTING,CAST,,1.0,10.93,63281.36,269.0,RAVIKUMAR,54378.0,5.0,6.0,14.069482703911548,5789.694419030192,Slow Moving
MDU,GL-01291,2024-05-10,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,15.85,90846.35,40.0,RAMAMOORTHY,3750.0,5.0,6.0,95.87215116512662,5731.630914826499,Slow Moving
CBT,GL-00475,2024-05-10,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,15.75,77520.16,40.0,RAVIKUMAR,3750.0,5.0,6.0,95.16254868411005,4921.914920634921,Slow Moving
MDU,GL-01350,2024-05-12,F,22KT,GO_BRACELET,CASTING,CAST,,1.0,9.58,55750.01,142.0,KARMEGAM,3750.0,5.0,6.0,93.27354380743608,5819.416492693111,Slow Moving
CBT,GL-00500,2024-05-12,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.25,48470.4,90.0,RAJAPRABHU,44102.0,5.0,6.0,9.012510728197006,5875.2,Slow Moving
CNI,GL-00975,2024-05-13,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,9.43,55275.25,43.0,RAJAPRIYA,3750.0,5.0,6.0,93.21577016838458,5861.638388123012,Slow Moving
CNI,GL-00990,2024-05-13,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,16.12,90434.83,43.0,SHANMUGANATHAN,3750.0,5.0,6.0,95.85336755761027,5610.10111662531,Slow Moving
CNI,GL-01043,2024-05-15,Z_24,22KT,GO_BRACELET,CASTING,CAST,,1.0,7.21,42750.32,32.0,ARUNACHALAM,40698.53,5.0,6.0,4.799472846051213,5929.309292649098,Slow Moving
CNI,GL-01054,2024-05-15,A_25,22KT,GO_BRACELET,CASTING,CAST,,1.0,6.99,40344.54,303.0,ARUNACHALAM,37658.0,5.0,6.0,6.658992765811683,5771.751072961373,Slow Moving
MDU,GL-01574,2024-05-18,E,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.38,43398.66,33.0,RAVIKUMAR,3750.0,5.0,6.0,91.35918021431998,5178.837708830549,Slow Moving
MDU,GL-01606,2024-05-19,D,22KT,GO_BRACELET,CASTING,CAST,,1.0,3.44,23832.95,38.0,ESAKKIAMMAL,21478.44,5.0,6.0,9.879221833637892,6928.183139534884,Slow Moving
MDU,GL-01619,2024-05-19,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,7.14,42049.78,49.0,SUNDARAM,3750.0,5.0,6.0,91.08199852650834,5889.324929971989,Slow Moving
MDU,GL-01691,2024-05-21,A_25,22KT,GO_BRACELET,CASTING,CAST,,1.0,5.08,30306.13,123.0,BALAMURUGAN,28245.0,5.0,6.0,6.801033322301466,5965.773622047244,Slow Moving
MDU,GL-01713,2024-05-21,A_25,22KT,GO_BRACELET,CASTING,CAST,7.0,1.0,8.02,47402.84,151.0,BALAMURUGAN,3750.0,5.0,6.0,92.08908158245372,5910.57855361596,Slow Moving
CNI,GL-01205,2024-05-21,A_25,22KT,GO_BRACELET,CASTING,CAST,,1.0,5.29,32392.7,441.0,SHANMUGANATHAN,27508.0,5.0,6.0,15.079632139340038,6123.383742911154,Slow Moving
CNI,GL-01208,2024-05-21,Y_23,22KT,GO_BRACELET,CASTING,CAST,,1.0,7.88,46256.92,5.0,MANIKANDAN,43088.0,5.0,6.0,6.850693906987318,5870.167512690356,Fast Moving
CBT,GL-00624,2024-05-22,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.28,48749.87,52.0,RAVIKUMAR,3750.0,5.0,6.0,92.3076717948171,5887.665458937199,Slow Moving
CNI,GL-01238,2024-05-22,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,16.48,92813.68,52.0,ARUNACHALAM,3750.0,5.0,6.0,95.9596473278508,5631.898058252426,Slow Moving
MDU,GL-01762,2024-05-22,E,22KT,GO_BRACELET,CASTING,CAST,,1.0,4.27,27048.21,2691.0,MANOJ KUMAR,3750.0,5.0,6.0,86.13586629207626,6334.475409836066,Slow Moving
MDU,GL-01778,2024-05-23,N_110,22KT,GO_BRACELET,CASTING,CAST,,1.0,20.58,114833.34,60.0,KARMEGAM,112938.76,5.0,6.0,1.6498518635789934,5579.851311953353,Slow Moving
CNI,GL-01320,2024-05-25,A,22KT,GO_BRACELET,CASTING,CAST,,1.0,6.87,41449.79,55.0,VENKATESH,3750.0,5.0,6.0,90.95290953223166,6033.448326055313,Slow Moving
CNI,GL-01327,2024-05-25,Z_24,22KT,GO_BRACELET,CASTING,CAST,,1.0,11.1,68900.09,42.0,ARUNACHALAM,60630.02,5.0,6.0,12.002988675341353,6207.215315315315,Slow Moving
MDU,GL-01868,2024-05-26,D_28,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.02,48750.89,104.0,RAGURAM,42977.0,5.0,6.0,11.84366070034824,6078.664588528679,Slow Moving
CNI,GL-01375,2024-05-27,Y_47,22KT,GO_BRACELET,CASTING,CAST,,1.0,20.23,115649.74,91.0,RAJAPRIYA,3750.0,5.0,6.0,96.75745055717375,5716.7444389520515,Slow Moving
MDU,GL-01905,2024-05-27,E,22KT,GO_BRACELET,CASTING,CAST,,1.0,14.78,84049.64,2105.0,KARMEGAM,3750.0,5.0,6.0,95.53835090786825,5686.714479025711,Slow Moving
MDU,GL-01964,2024-05-29,Y_47,22KT,GO_BRACELET,CASTING,CAST,,1.0,11.94,70250.27,85.0,RAMAMOORTHY,3750.0,5.0,6.0,94.66194222456369,5883.6072026800675,Slow Moving
MDU,GL-01986,2024-05-30,D,22KT,GO_BRACELET,CASTING,CAST,,1.0,7.28,44613.46,49.0,BALAMURUGAN,41273.94,5.0,6.0,7.485453941478641,6128.222527472527,Slow Moving
MDU,GL-01987,2024-05-30,Y_47,22KT,GO_BRACELET,CASTING,CAST,,1.0,10.4,62161.78,94.0,RAMAMOORTHY,3750.0,5.0,6.0,93.96735421669071,5977.09423076923,Slow Moving
MDU,GL-01992,2024-05-30,D,22KT,GO_BRACELET,CASTING,CAST,,1.0,8.67,50734.9,49.0,LALITHA,48436.19,5.0,6.0,4.530825920618744,5851.776239907728,Slow Moving
MDU,GL-01099,2024-05-04,A_73,22KT,GO_BRACELET,CASTING,CA R,,1.0,41.23,227749.8,2.0,BALAMURUGAN,3750.0,5.0,6.0,98.3534562928266,5523.885520252244,Fast Moving
MDU,GL-01494,2024-05-15,Q,22KT,GO_BRACELET,CASTING,CA R,,1.0,32.06,170749.92,3.0,SELVAM,3750.0,5.0,6.0,97.80380570602902,5325.948845913911,Fast Moving
MDU,GL-02031,2024-05-31,G,22KT,GO_BRACELET,CASTING,CA R,,1.0,23.92,131749.73,1.0,MANOJ KUMAR,3750.0,5.0,6.0,97.1536943567171,5507.931856187291,Fast Moving
MDU,GL-00838,2024-05-01,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,3.11,20749.58,11.0,RAMAMOORTHY,19929.12,5.0,6.0,3.954104131264357,6671.8906752411585,Fast Moving
MDU,GL-00846,2024-05-01,Y_47,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,5.75,34694.04,65.0,RAGURAM,3750.0,5.0,6.0,89.19122708107791,6033.746086956522,Slow Moving
CBT,GL-00299,2024-05-03,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,2.12,15049.53,13.0,THANGARAJ,14778.96,5.0,6.0,1.7978634548720225,7098.834905660377,Fast Moving
MDU,GL-00924,2024-05-03,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,2.0,14349.51,13.0,MANOJ KUMAR,14155.2,5.0,6.0,1.3541228933949625,7174.755,Fast Moving
CNI,GL-00679,2024-05-03,C,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,4.73,28791.74,96.0,PRABU KUMAR,25029.0,5.0,6.0,13.068817653952145,6087.048625792811,Slow Moving
CBT,GL-00319,2024-05-03,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,3.97,24801.49,13.0,RAJAPRABHU,24405.84,5.0,6.0,1.59526705855173,6247.226700251889,Fast Moving
CBT,GL-00328,2024-05-03,M_13,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,6.45,37930.4,223.0,JAYADHARSHINI,33981.0,5.0,6.0,10.412228713643941,5880.6821705426355,Slow Moving
CBT,GL-00330,2024-05-03,E,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,5.63,33749.8,420.0,RAJAPRABHU,28816.0,5.0,6.0,14.618753296315838,5994.635879218473,Slow Moving
MDU,GL-00994,2024-05-03,P,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,11.97,67250.45,0.0,RAGURAM,64669.97,5.0,6.0,3.83711930552137,5618.249791144527,Fast Moving
CNI,GL-00780,2024-05-03,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,2.11,15372.86,13.0,SELCIYA DEVI,14729.28,5.0,6.0,4.186468880871874,7285.715639810427,Fast Moving
CBT,GL-00397,2024-05-04,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,4.11,26350.14,14.0,ELACKIYA,25134.48,5.0,6.0,4.613485924552962,6411.226277372262,Fast Moving
CNI,GL-00964,2024-05-12,L_12,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,3.68,23675.11,569.0,GOWTHAM,22473.0,5.0,6.0,5.077526566930421,6433.453804347826,Slow Moving
CBT,GL-00532,2024-05-14,E,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,4.87,29570.39,447.0,THANGARAJ,25929.0,5.0,6.0,12.314311715198885,6071.948665297741,Slow Moving
CBT,GL-00542,2024-05-14,M_13,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,6.06,35250.04,234.0,ELACKIYA,32153.0,5.0,6.0,8.785919108176902,5816.838283828383,Slow Moving
CNI,GL-01040,2024-05-15,C,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,5.07,30212.31,108.0,MANIKANDAN,26592.0,5.0,6.0,11.982897037664452,5959.03550295858,Slow Moving
MDU,GL-01478,2024-05-15,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,2.06,14837.88,25.0,MANOJ KUMAR,14469.84,5.0,6.0,2.480408252391845,7202.854368932039,Fast Moving
CNI,GL-01096,2024-05-16,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,4.16,25949.75,26.0,SATHISH KUMAR,25393.92,5.0,6.0,2.1419474176051856,6237.920673076923,Fast Moving
MDU,GL-01740,2024-05-22,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,1.97,14191.92,32.0,LALITHA,14000.64,5.0,6.0,1.347809175925461,7204.020304568528,Slow Moving
CNI,GL-01286,2024-05-24,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,2.13,15149.51,34.0,ZINIYA,14834.16,5.0,6.0,2.0815854770220317,7112.446009389671,Slow Moving
CBT,GL-00689,2024-05-26,E,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,6.89,40014.86,443.0,RAVIKUMAR,34493.0,5.0,6.0,13.799523477028286,5807.67198838897,Slow Moving
CBT,GL-00691,2024-05-27,Y_47,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,3.1,20950.15,91.0,RAJAPRABHU,3750.0,5.0,6.0,82.10036682314924,6758.112903225807,Slow Moving
CNI,GL-01402,2024-05-28,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,4.04,25749.51,38.0,ARUN KUMAR,24770.16,5.0,6.0,3.8033733457452144,6373.641089108911,Slow Moving
CBT,GL-00717,2024-05-28,M_13,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,6.68,39816.69,248.0,RAJAPRABHU,35059.0,5.0,6.0,11.948984207376359,5960.582335329342,Slow Moving
CNI,GL-01444,2024-05-29,B,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,2.03,14749.89,39.0,KAMATCHI,14309.76,5.0,6.0,2.9839544566095015,7265.955665024631,Slow Moving
MDU,GL-01989,2024-05-30,A,22KT,GO_BRACELET,BOMBAY,BY BR,,1.0,15.87,92056.95,306.0,LALITHA,71162.0,5.0,6.0,22.697851710272822,5800.689981096409,Slow Moving
CBT,GL-00333,2024-05-03,C,22KT,GO_BRACELET,BOMBAY,BY FA,,1.0,4.87,30696.75,187.0,ELACKIYA,24363.0,5.0,6.0,20.633291797991642,6303.2340862423,Slow Moving
MDU,GL-01556,2024-05-17,L_12,22KT,GO_BRACELET,BOMBAY,BY FA,,1.0,8.83,51291.41,147.0,KARMEGAM,3750.0,5.0,6.0,92.68883425119333,5808.766704416761,Slow Moving
CBT,GL-00582,2024-05-18,C,22KT,GO_BRACELET,BOMBAY,BY FA,,1.0,4.34,26250.13,489.0,THANGARAJ,24903.0,5.0,6.0,5.131898394407955,6048.417050691245,Slow Moving
CNI,GL-01285,2024-05-24,L_12,22KT,GO_BRACELET,BOMBAY,BY FA,,1.0,3.96,24950.07,295.0,ARUNACHALAM,21542.0,5.0,6.0,13.65956087497951,6300.522727272727,Slow Moving
CBT,GL-00344,2024-05-03,I_57,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.13,93150.15,3.0,MUTHU LAKSHMI,85081.77,12.0,16.0,8.661692976339802,5774.962802231866,Fast Moving
MDU,GL-01057,2024-05-03,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,19.98,111140.71,56.0,VENKATESHBABU,3750.0,16.0,20.0,96.62589882681154,5562.5980980980985,Slow Moving
MDU,GL-01149,2024-05-05,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.1,88951.27,38.0,RAMAMOORTHY,84868.24,12.0,16.0,4.590187413850301,5524.923602484472,Slow Moving
MDU,GL-01237,2024-05-08,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,32.11,174339.08,61.0,KARMEGAM,3750.0,24.0,32.0,97.84901927898208,5429.432575521644,Slow Moving
CBT,GL-00458,2024-05-09,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.15,90749.87,42.0,RAVIKUMAR,85120.16,12.0,16.0,6.203546076705115,5619.186996904025,Slow Moving
CBT,GL-00479,2024-05-11,I_57,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,7.62,44019.24,11.0,RAVIKUMAR,44290.5,6.0,8.0,-0.6162305391915037,5776.803149606299,Fast Moving
MDU,GL-01313,2024-05-11,I_57,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.2,87250.09,13.0,KARMEGAM,85433.93,12.0,16.0,2.0815565920906254,5385.808024691358,Fast Moving
CBT,GL-00509,2024-05-12,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.13,90750.16,65.0,ELACKIYA,3750.0,12.0,16.0,95.86777588050533,5626.172349659021,Slow Moving
CBT,GL-00534,2024-05-14,I_57,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.12,89244.07,16.0,RAVIKUMAR,85028.41,12.0,16.0,4.723742429048791,5536.2326302729525,Fast Moving
CBT,GL-00536,2024-05-14,I_57,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,8.09,41750.0,14.0,RAVIKUMAR,44541.27,6.0,8.0,-6.685676646706579,5160.692212608158,Fast Moving
CNI,GL-01185,2024-05-20,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,40.28,211150.03,73.0,MANIKANDAN,3750.0,5.0,6.0,98.22401161865807,5242.0563555114195,Slow Moving
CBT,GL-00631,2024-05-22,I_57,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,8.12,47249.86,22.0,THANGARAJ,44690.67,6.0,8.0,5.416291180545302,5818.94827586207,Fast Moving
MDU,GL-01770,2024-05-22,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,12.11,68683.42,19.0,SILAMBARASAN,63601.81,10.0,12.0,7.3985977984206395,5671.628406275805,Fast Moving
CNI,GL-01396,2024-05-28,A,22KT,GO_BRACELET,BOMBAY,STAMP,,1.0,16.12,91749.74,61.0,ARUNACHALAM,84970.08,12.0,16.0,7.389296144054472,5691.671215880893,Slow Moving
CNI,GL-00935,2024-05-11,A,22KT,GO_BRACELET,EXCLUSIVE,YANAK,,1.0,13.01,72749.55,385.0,RAJAPRIYA,66293.0,5.0,6.0,8.875037715009924,5591.817832436587,Slow Moving
MDU,GL-01601,2024-05-18,A,22KT,GO_BRACELET,EXCLUSIVE,YANAK,6.0,1.0,5.86,38329.48,148.0,MANOJ KUMAR,3750.0,5.0,6.0,90.21640784064903,6540.866894197952,Slow Moving
MDU,GL-00895,2024-05-03,D,22KT,GO_BRACELET,EXCLUSIVE,CA R,8.0,1.0,17.46,101750.29,134.0,YUGESH MOULI,3750.0,5.0,6.0,96.31450681860464,5827.622565864834,Slow Moving
CNI,GL-01057,2024-05-15,D,22KT,GO_BRACELET,EXCLUSIVE,MI BR,,1.0,8.03,47249.59,4.0,ARUN KUMAR,45510.78,5.0,6.0,3.680053096757025,5884.133250311333,Fast Moving
CNI,GL-01172,2024-05-20,D,22KT,GO_BRACELET,EXCLUSIVE,MI BR,,1.0,7.77,46419.74,9.0,SELCIYA DEVI,44162.81,5.0,6.0,4.862004828118383,5974.226512226513,Fast Moving
MDU,GL-01773,2024-05-23,D,22KT,GO_BRACELET,EXCLUSIVE,MI BR,,1.0,8.1,51358.57,12.0,BALAMURUGAN,45876.97,5.0,6.0,10.673194366587696,6340.5641975308645,Fast Moving
CNI,GL-01395,2024-05-28,D,22KT,GO_BRACELET,EXCLUSIVE,MI BR,,1.0,3.88,26038.91,17.0,SHANMUGANATHAN,23927.21,5.0,6.0,8.109786469556523,6711.059278350515,Fast Moving
MDU,GL-01950,2024-05-29,D,22KT,GO_BRACELET,EXCLUSIVE,MI BR,,1.0,7.71,48863.72,18.0,MANOJ KUMAR,43849.69,5.0,6.0,10.261253134227191,6337.7068741893645,Fast Moving
MDU,GL-02001,2024-05-30,D,22KT,GO_BRACELET,EXCLUSIVE,MI BR,,1.0,4.6,29750.22,19.0,LALITHA,27673.96,5.0,6.0,6.978973600867495,6467.439130434784,Fast Moving
CNI,GL-00750,2024-05-03,U_44,22KT,GO_BRACELET,CALCUTTA,CA R,,1.0,4.99,29398.04,93.0,PRABU KUMAR,26126.0,5.0,6.0,11.130129763752961,5891.390781563126,Slow Moving
MDU,GL-01691,2024-05-21,O_15,22KT,GO_BRACELET,GEMSTONE,KARUG,7.0,1.0,6.93,39965.09,151.0,BALAMURUGAN,3750.0,5.0,6.0,90.61681082164459,5766.9682539682535,Slow Moving
MDU,GL-01644,2024-05-19,N_38,22KT,GO_WATCH,EXCLUSIVE,G W,,1.0,42.97,241250.39,1.0,KANNAN,223108.56,42.0,50.0,7.519917377128392,5614.391203165,Fast Moving
CNI,GL-01452,2024-05-29,Q,22KT,GO_WATCH,EXCLUSIVE,G W,,1.0,17.96,111750.3,11.0,RAVICHANDRAN,3750.0,0.0,16.0,96.64430431059246,6222.17706013363,Fast Moving
MDU,GL-01981,2024-05-29,J_10,22KT,GO_WATCH,EXCLUSIVE,G W,,1.0,19.5,105181.74,16.0,KARMEGAM,106573.5,16.0,20.0,-1.3231954519862428,5393.9353846153845,Fast Moving
CBT,GL-00261,2024-05-01,Q_41,22KT,GO_BESARI,EXCLUSIVE,G BRS,,1.0,0.27,5549.81,685.0,MUTHU LAKSHMI,5102.0,5.0,6.0,8.068924882113087,20554.85185185185,Slow Moving
CBT,GL-00345,2024-05-03,Q_41,22KT,GO_BESARI,EXCLUSIVE,G BRS,,1.0,0.26,5449.58,688.0,RAVIKUMAR,5052.0,5.0,6.0,7.29560810190877,20959.923076923074,Slow Moving
CBT,GL-00410,2024-05-05,Q_41,22KT,GO_BESARI,EXCLUSIVE,G BRS,,1.0,0.22,5014.64,689.0,RAJAPRABHU,4852.0,5.0,6.0,3.243303607038597,22793.818181818184,Slow Moving
CBT,GL-00580,2024-05-18,Q_41,22KT,GO_BESARI,EXCLUSIVE,G BRS,,1.0,0.18,4949.95,704.0,RAJAPRABHU,4651.0,5.0,6.0,6.03945494398933,27499.722222222223,Slow Moving
CBT,GL-00602,2024-05-20,Q_41,22KT,GO_BESARI,EXCLUSIVE,G BRS,,1.0,0.3,5709.9,702.0,RAJAPRABHU,5254.0,5.0,6.0,7.984378010122764,19033.0,Slow Moving
CBT,GL-00664,2024-05-25,Q_41,22KT,GO_BESARI,EXCLUSIVE,G BRS,,1.0,0.26,5449.64,710.0,ELACKIYA,5052.0,5.0,6.0,7.296628768138818,20960.153846153848,Slow Moving
MDU,GL-00818,2024-05-01,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,1.16,10449.79,685.0,SUNDARARAJAN,9560.0,5.0,6.0,8.5149079550881,9008.439655172415,Slow Moving
CNI,GL-00573,2024-05-01,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,0.33,5680.43,690.0,GOWTHAM,5381.0,5.0,6.0,5.271255873234954,17213.424242424244,Slow Moving
MDU,GL-00827,2024-05-01,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,0.47,6350.06,686.0,LALITHA,6104.0,5.0,6.0,3.874924016465992,13510.76595744681,Slow Moving
MDU,GL-00916,2024-05-03,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,0.13,4509.16,688.0,RAGURAM,4401.0,5.0,6.0,2.398672923560039,34685.84615384615,Slow Moving
CNI,GL-00762,2024-05-03,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,0.28,5520.98,692.0,MUTHUMATHI,5134.0,5.0,6.0,7.009262848262439,19717.78571428571,Slow Moving
CNI,GL-00601,2024-05-01,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,0.17,4999.98,691.0,ARUN PANDIAN,4590.0,5.0,6.0,8.199632798531187,29411.647058823524,Slow Moving
MDU,GL-00857,2024-05-02,Q_41,22KT,GO_BESARI,GEMSTONE,STO B,,1.0,0.12,4501.79,688.0,KANNAN,4351.0,5.0,6.0,3.3495565097439015,37514.916666666664,Slow Moving
